field_1,field_2,field_3,field_4,dtime
260.45417,82.722,32.0572,"2",9/17/1988 11:54:00 (W. Europe Daylight Time)
260.47847,82.7203,32.055,"2",9/17/1988 12:28:59 (W. Europe Daylight Time)
260.50417,82.717,32.0997,"2",9/17/1988 13:06:00 (W. Europe Daylight Time)
260.52361,82.7168,32.108,"2",9/17/1988 13:33:59 (W. Europe Daylight Time)
260.55694,82.7145,32.1495,"2",9/17/1988 14:21:59 (W. Europe Daylight Time)
260.57986,82.7118,32.1588,"2",9/17/1988 14:54:59 (W. Europe Daylight Time)
260.58317,82.7115,32.1657,"0",9/17/1988 14:59:45 (W. Europe Daylight Time)
260.59375,82.7107,32.1732,"2",9/17/1988 15:15:00 (W. Europe Daylight Time)
260.63056,82.6895,32.3012,"2",9/17/1988 16:08:00 (W. Europe Daylight Time)
260.63416,82.6895,32.302,"0",9/17/1988 16:13:11 (W. Europe Daylight Time)
260.64583,82.6745,32.3555,"2",9/17/1988 16:29:59 (W. Europe Daylight Time)
260.65809,82.6782,32.4278,"0",9/17/1988 16:47:38 (W. Europe Daylight Time)
260.66806,82.6983,32.4322,"2",9/17/1988 17:02:00 (W. Europe Daylight Time)
260.68194,82.6895,32.4278,"2",9/17/1988 17:21:59 (W. Europe Daylight Time)
260.71181,82.6868,32.4303,"2",9/17/1988 18:05:00 (W. Europe Daylight Time)
260.71806,82.686,32.4388,"2",9/17/1988 18:14:00 (W. Europe Daylight Time)
260.74028,82.6855,32.4515,"2",9/17/1988 18:46:00 (W. Europe Daylight Time)
260.75694,82.6828,32.4692,"2",9/17/1988 19:09:59 (W. Europe Daylight Time)
260.77786,82.6842,32.4613,"3",9/17/1988 19:40:07 (W. Europe Daylight Time)
260.77917,82.6832,32.4455,"2",9/17/1988 19:42:00 (W. Europe Daylight Time)
260.77993,82.684,32.4577,"3",9/17/1988 19:43:05 (W. Europe Daylight Time)
260.82431,82.6825,32.483,"2",9/17/1988 20:47:00 (W. Europe Daylight Time)
260.82751,82.6835,32.4768,"3",9/17/1988 20:51:36 (W. Europe Daylight Time)
260.83571,82.6833,32.4703,"0",9/17/1988 21:03:25 (W. Europe Daylight Time)
260.84375,82.6828,32.4777,"2",9/17/1988 21:15:00 (W. Europe Daylight Time)
260.84418,82.684,32.4767,"3",9/17/1988 21:15:37 (W. Europe Daylight Time)
260.85483,82.6845,32.4693,"0",9/17/1988 21:30:57 (W. Europe Daylight Time)
260.88333,82.6833,32.5135,"2",9/17/1988 22:11:59 (W. Europe Daylight Time)
260.88793,82.6835,32.4943,"3",9/17/1988 22:18:37 (W. Europe Daylight Time)
260.9,82.6797,32.4867,"2",9/17/1988 22:35:59 (W. Europe Daylight Time)
260.90251,82.6838,32.4985,"3",9/17/1988 22:39:36 (W. Europe Daylight Time)
260.93793,82.6847,32.5133,"3",9/17/1988 23:30:37 (W. Europe Daylight Time)
260.95764,82.6855,32.5205,"2",9/17/1988 23:59:00 (W. Europe Daylight Time)
260.95876,82.6848,32.5208,"3",9/18/1988 00:00:36 (W. Europe Daylight Time)
260.975,82.6847,32.5338,"2",9/18/1988 00:24:00 (W. Europe Daylight Time)
260.97959,82.6842,32.5328,"3",9/18/1988 00:30:36 (W. Europe Daylight Time)
261.00251,82.6832,32.5447,"3",9/18/1988 01:03:36 (W. Europe Daylight Time)
261.01042,82.6832,32.5472,"2",9/18/1988 01:15:00 (W. Europe Daylight Time)
261.03333,82.6818,32.5543,"2",9/18/1988 01:47:59 (W. Europe Daylight Time)
261.03376,82.6815,32.5533,"3",9/18/1988 01:48:36 (W. Europe Daylight Time)
261.04297,82.6803,32.5508,"0",9/18/1988 02:01:52 (W. Europe Daylight Time)
261.06209,82.6803,32.5612,"0",9/18/1988 02:29:24 (W. Europe Daylight Time)
261.07014,82.68,32.563,"2",9/18/1988 02:41:00 (W. Europe Daylight Time)
261.07751,82.68,32.5622,"3",9/18/1988 02:51:36 (W. Europe Daylight Time)
261.10833,82.6763,32.553,"2",9/18/1988 03:35:59 (W. Europe Daylight Time)
261.10876,82.6773,32.5558,"3",9/18/1988 03:36:36 (W. Europe Daylight Time)
261.14514,82.6763,32.555,"2",9/18/1988 04:29:00 (W. Europe Daylight Time)
261.14543,82.6758,32.5538,"0",9/18/1988 04:29:25 (W. Europe Daylight Time)
261.14626,82.6767,32.5527,"3",9/18/1988 04:30:36 (W. Europe Daylight Time)
261.18403,82.674,32.5422,"2",9/18/1988 05:25:00 (W. Europe Daylight Time)
261.18793,82.674,32.5428,"3",9/18/1988 05:30:37 (W. Europe Daylight Time)
261.20139,82.6745,32.5388,"2",9/18/1988 05:50:00 (W. Europe Daylight Time)
261.20251,82.6748,32.5398,"3",9/18/1988 05:51:36 (W. Europe Daylight Time)
261.22334,82.6747,32.528,"3",9/18/1988 06:21:36 (W. Europe Daylight Time)
261.22361,82.6737,32.522,"2",9/18/1988 06:21:59 (W. Europe Daylight Time)
261.27752,82.6733,32.5147,"3",9/18/1988 07:39:37 (W. Europe Daylight Time)
261.27917,82.6732,32.5118,"2",9/18/1988 07:42:00 (W. Europe Daylight Time)
261.34211,82.674,32.5152,"3",9/18/1988 09:12:38 (W. Europe Daylight Time)
261.35417,82.6747,32.494,"2",9/18/1988 09:30:00 (W. Europe Daylight Time)
261.35459,82.675,32.4955,"3",9/18/1988 09:30:36 (W. Europe Daylight Time)
261.41111,82.6752,32.5047,"2",9/18/1988 10:51:59 (W. Europe Daylight Time)
261.41501,82.6753,32.5055,"3",9/18/1988 10:57:36 (W. Europe Daylight Time)
261.43056,82.6763,32.4985,"2",9/18/1988 11:20:00 (W. Europe Daylight Time)
261.43376,82.6757,32.4952,"3",9/18/1988 11:24:36 (W. Europe Daylight Time)
261.44722,82.6768,32.5075,"2",9/18/1988 11:43:59 (W. Europe Daylight Time)
261.45044,82.6763,32.5088,"3",9/18/1988 11:48:38 (W. Europe Daylight Time)
261.48056,82.6763,32.5152,"2",9/18/1988 12:32:00 (W. Europe Daylight Time)
261.48169,82.6758,32.5168,"3",9/18/1988 12:33:38 (W. Europe Daylight Time)
261.50556,82.6763,32.5027,"2",9/18/1988 13:08:00 (W. Europe Daylight Time)
261.51944,82.6758,32.5133,"2",9/18/1988 13:27:59 (W. Europe Daylight Time)
261.55556,82.675,32.5118,"2",9/18/1988 14:20:00 (W. Europe Daylight Time)
261.55627,82.6747,32.5125,"3",9/18/1988 14:21:01 (W. Europe Daylight Time)
261.56667,82.675,32.5095,"2",9/18/1988 14:36:00 (W. Europe Daylight Time)
261.62917,82.672,32.4913,"2",9/18/1988 16:06:00 (W. Europe Daylight Time)
261.63127,82.672,32.4933,"3",9/18/1988 16:09:01 (W. Europe Daylight Time)
261.64306,82.6715,32.4885,"2",9/18/1988 16:26:00 (W. Europe Daylight Time)
261.64586,82.6717,32.4875,"3",9/18/1988 16:30:02 (W. Europe Daylight Time)
261.70486,82.6702,32.4833,"2",9/18/1988 17:54:59 (W. Europe Daylight Time)
261.70874,82.6698,32.444,"0",9/18/1988 18:00:35 (W. Europe Daylight Time)
261.72361,82.6705,32.4832,"0",9/18/1988 18:21:59 (W. Europe Daylight Time)
261.74722,82.6697,32.4718,"2",9/18/1988 18:55:59 (W. Europe Daylight Time)
261.82431,82.6715,32.4688,"2",9/18/1988 20:47:00 (W. Europe Daylight Time)
261.84008,82.671,32.466,"3",9/18/1988 21:09:42 (W. Europe Daylight Time)
261.86667,82.6743,32.4832,"2",9/18/1988 21:48:00 (W. Europe Daylight Time)
261.88266,82.674,32.4855,"3",9/18/1988 22:11:01 (W. Europe Daylight Time)
261.88333,82.6747,32.4923,"2",9/18/1988 22:11:59 (W. Europe Daylight Time)
261.90347,82.6762,32.4982,"2",9/18/1988 22:40:59 (W. Europe Daylight Time)
261.90765,82.675,32.488,"3",9/18/1988 22:47:00 (W. Europe Daylight Time)
261.92847,82.6768,32.5065,"2",9/18/1988 23:16:59 (W. Europe Daylight Time)
261.93266,82.6767,32.5027,"3",9/18/1988 23:23:01 (W. Europe Daylight Time)
261.94236,82.6773,32.5105,"2",9/18/1988 23:36:59 (W. Europe Daylight Time)
261.94516,82.6775,32.5082,"3",9/18/1988 23:41:01 (W. Europe Daylight Time)
261.95903,82.6778,32.5237,"2",9/19/1988 00:01:00 (W. Europe Daylight Time)
261.96182,82.6777,32.5235,"3",9/19/1988 00:05:01 (W. Europe Daylight Time)
261.96324,82.6782,32.5258,"0",9/19/1988 00:07:03 (W. Europe Daylight Time)
261.99477,82.6793,32.5375,"0",9/19/1988 00:52:28 (W. Europe Daylight Time)
262.00208,82.6797,32.5403,"2",9/19/1988 01:02:59 (W. Europe Daylight Time)
262.00348,82.6798,32.536,"3",9/19/1988 01:05:00 (W. Europe Daylight Time)
