fid,Volcano_Name,Last_Eruption_Year,Country,Elevation
"1",West Eifel Volcanic Field,"-8300",Germany,"600"
"2",Chaine des Puys,"-4040",France,"1464"
"3",Olot Volcanic Field,,Spain,"893"
"4",Calatrava Volcanic Field,"-3600",Spain,"1117"
"5",Colli Albani,,Italy,"949"
"6",Campi Flegrei,"1538",Italy,"458"
"7",Vesuvius,"1944",Italy,"1281"
"8",Palinuro,"-8040",Italy,"-70"
"9",Ischia,"1302",Italy,"789"
"10",Panarea,,Italy,"399"
"11",Lipari,"1230",Italy,"590"
"12",Stromboli,"2024",Italy,"924"
"13",Vulcano,"1890",Italy,"500"
"14",Etna,"2024",Italy,"3357"
"15",Pantelleria,"1891",Italy,"836"
"16",Campi Flegrei del Mar di Sicilia,"1867",Italy,"-8"
"17",Methana,"-258",Greece,"380"
"18",Milos,"140",Greece,"751"
"19",Santorini,"1950",Greece,"367"
"20",Nisyros,"1888",Greece,"698"
"21",Kula,,Turkiye,"750"
"22",Hasandag-Keciboyduran Volcanic Complex,,Turkiye,"3253"
"23",Karaca Dag,,Turkiye,"1957"
"24",Erciyes Volcanic Complex,"-6880",Turkiye,"3864"
"25",Nemrut Dagi,"1650",Turkiye,"2948"
"26",Tenduruk Dagi,"1855",Turkiye,"3514"
"27",Ararat,"1840",Turkiye,"5165"
"28",Elbrus,"50",Russia,"5642"
"29",Kazbek,"-750",Georgia,"5050"
"30",Samsari Volcanic Center,,Georgia,"3290"
"31",Aragats,,Armenia,"4095"
"32",Ghegham Volcanic Ridge,"-1900",Armenia,"3597"
"33",Vaiyots-Sar,"-2000",Armenia,"2575"
"34",Porak,"-778",Armenia-Azerbaijan,"3029"
"35",Tskhouk-Karckar,"-3000",Armenia-Azerbaijan,"3139"
"36","Tair, Jebel at","2008",Yemen,"244"
"37",Zukur,,Yemen,"624"
"38",Hanish,,Yemen,"422"
"39",Zubair Group,"2013",Yemen,"191"
"40",Dallol,"2011",Ethiopia,"-48"
"41",Alid,,Eritrea,"904"
"42",Gada Ale,,Ethiopia,"287"
"43",Alu-Dalafilla,"2008",Ethiopia,"578"
"44",Bora Ale,,Ethiopia,"668"
"45",Erta Ale,"2024",Ethiopia,"585"
"46",Hayli Gubbi,,Ethiopia,"493"
"47",Ale Bagu,,Ethiopia,"988"
"48",Nabro,"2012",Eritrea,"2218"
"49",Mallahle,,Ethiopia-Eritrea,"1875"
"50",Sork Ale,,Ethiopia-Eritrea,"1611"
"51",Asavyo,,Ethiopia,"1338"
"52",Mat Ala,,Ethiopia,"493"
"53",Tat Ali,,Ethiopia,"655"
"54",Borawli,,Ethiopia,"784"
"55",Dubbi,"1861",Eritrea,"1625"
"56",Ma Alalta,,Ethiopia,"1745"
"57",Alayta,"1915",Ethiopia,"1496"
"58",Dabbahu,"2005",Ethiopia,"1401"
"59",Dabbayra,,Ethiopia,"1302"
"60",Manda Hararo,"2009",Ethiopia,"600"
"61",Groppo,,Ethiopia,"852"
"62",Afdera,,Ethiopia,"1250"
"63",Manda Gargori,,Ethiopia,"700"
"64",Manda-Inakir,"1928",Ethiopia-Djibouti,"600"
"65",Mousa Alli,,Ethiopia-Eritrea-Djibouti,"1993"
"66",Gufa,,Eritrea-Djibouti,"600"
"67",Assab Volcanic Field,,Eritrea,"987"
"68",Ardoukoba,"1978",Djibouti,"298"
"69",Kurub,,Ethiopia,"625"
"70",Dama Ali,"1631",Ethiopia,"1068"
"71",Yangudi,,Ethiopia,"1383"
"72",Gabillema,,Ethiopia,"1459"
"73",Ayelu,,Ethiopia,"2145"
"74",Hertali,,Ethiopia,"900"
"75",Liado Hayk,,Ethiopia,"878"
"76",Adwa,,Ethiopia,"1670"
"77",Dofan,,Ethiopia,"1151"
"78",Beru,,Ethiopia,"1100"
"79",Fentale,"1820",Ethiopia,"2007"
"80",Kone,"1820",Ethiopia,"1380"
"81",Boset,,Ethiopia,"2447"
"82",Bishoftu Volcanic Field,,Ethiopia,"1850"
"83",Melkassa,,Ethiopia,"1765"
"84",Gedemsa,,Ethiopia,"1909"
"85",Bora-Bericha-Tullu Moye,"1900",Ethiopia,"2345"
"86",Unnamed,,Ethiopia,"1886"
"87",East Ziway,,Ethiopia,"1889"
"88",Butajiri-Silti Field,,Ethiopia,"2281"
"89",Aluto,"1550",Ethiopia,"2335"
"90",Shala,,Ethiopia,"2075"
"91",Corbetti,"-396",Ethiopia,"2289"
"92",Bilate River Field,,Ethiopia,"1700"
"93",Korath Range,,Ethiopia,"912"
"94",Lake Turkana North Island,,Kenya,"490"
"95",Lake Turkana Central Island,,Kenya,"518"
"96",Marsabit,,Kenya,"1707"
"97",Lake Turkana South Island,"1888",Kenya,"800"
"98","Barrier, The","1921",Kenya,"1032"
"99",Namarunu,"-6550",Kenya,"817"
"100",Segererua Plateau,,Kenya,"699"
