fid,Volcano_Name,Country,Elevation,Last_Eruption_Year
1,West Eifel Volcanic Field,Germany,600,-8300
2,Chaine des Puys,France,1464,-4040
3,Olot Volcanic Field,Spain,893,NA
4,Calatrava Volcanic Field,Spain,1117,-3600
5,Colli Albani,Italy,949,NA
6,Campi Flegrei,Italy,458,1538
7,Vesuvius,Italy,1281,1944
8,Palinuro,Italy,-70,-8040
9,Ischia,Italy,789,1302
10,Panarea,Italy,399,NA
11,Lipari,Italy,590,1230
12,Stromboli,Italy,924,2024
13,Vulcano,Italy,500,1890
14,Etna,Italy,3357,2024
15,Pantelleria,Italy,836,1891
16,Campi Flegrei del Mar di Sicilia,Italy,-8,1867
17,Methana,Greece,380,-258
18,Milos,Greece,751,140
19,Santorini,Greece,367,1950
20,Nisyros,Greece,698,1888
21,Kula,Turkiye,750,NA
22,Hasandag-Keciboyduran Volcanic Complex,Turkiye,3253,NA
23,Karaca Dag,Turkiye,1957,NA
24,Erciyes Volcanic Complex,Turkiye,3864,-6880
25,Nemrut Dagi,Turkiye,2948,1650
26,Tenduruk Dagi,Turkiye,3514,1855
27,Ararat,Turkiye,5165,1840
28,Elbrus,Russia,5642,50
29,Kazbek,Georgia,5050,-750
30,Samsari Volcanic Center,Georgia,3290,NA
31,Aragats,Armenia,4095,NA
32,Ghegham Volcanic Ridge,Armenia,3597,-1900
33,Vaiyots-Sar,Armenia,2575,-2000
34,Porak,Armenia-Azerbaijan,3029,-778
35,Tskhouk-Karckar,Armenia-Azerbaijan,3139,-3000
36,"Tair, Jebel at",Yemen,244,2008
37,Zukur,Yemen,624,NA
38,Hanish,Yemen,422,NA
39,Zubair Group,Yemen,191,2013
40,Dallol,Ethiopia,-48,2011
41,Alid,Eritrea,904,NA
42,Gada Ale,Ethiopia,287,NA
43,Alu-Dalafilla,Ethiopia,578,2008
44,Bora Ale,Ethiopia,668,NA
45,Erta Ale,Ethiopia,585,2024
46,Hayli Gubbi,Ethiopia,493,NA
47,Ale Bagu,Ethiopia,988,NA
